term,simplified
Abses,kumpulan nanah
Abses hepar,abses hati
Abses paru-paru,kantung nanah di paru
Abses peritonsil,kantung nanah di amandel
Acute upper respiratory infection unspecified,infeksi saluran napas atas akut tak spesifik
Akut,jangka pendek
Alkylating agent,obat jenis Alkylating agent
Alpha-fetoprotein screening,Tes skrining Alpha-fetoprotein
Alveoli,kantung udara
Alzheimer,penyakit pikun
Amniosentesis,tes dengan mengambil sampel air ketuban
Amniotomi,tindakan memecahkan kantong ketuban
Amputasi,pemotongan anggota tubuh
Anamnesis,tanya jawab medis
Anemia,kurang darah
Anestesi,bius
Angiografi koroner,pemeriksaan aliran darah pembuluh darah jantung
Antagonis H2,obat jenis antagonis H2
Antagonis reseptor H2,obat jenis antagonis H2
Antasida,obat penetral asam lambung
Antibiotik,obat pembunuh bakteri
Antibiotik oral,antibiotik yang diminum
Antibiotik antitumor,obat jenis Antibiotik antitumor
Antidepresan,penenang
Antiemetik,obat antimual
Antihistamin tablet,obat minum antialergi
Antijamur,obat antijamur
Antimetabolit,obat jenis Antimetabolit
Antiparasit,obat pembasmi parasit
Antivirus,obat antivirus
Aritmia,gangguan irama jantung
Arteri karotis,pembuluh darah besar di leher
Arteriolsklerosis,pengerasan arteri kecil
Arthralgia,nyeri sendi
Asfiksia janin,bayi kekurangan oksigen
Asfiksia perinatal,kondisi bayi kekurangan oksigen saat persalinan
Aterosklerosis,penumpukan kerak lemak
Bakteremia,fase infeksi bakteri dalam darah
Benign paroxysmal positional vertigo,BPPV
Biopsi,pengambilan sampel
Blastoma,jenis kanker dari jaringan janin
Bronkodilator,obat pelega napas
Bronkopneumonia,radang paru-paru jenis bronkopneumonia
Bronkus,saluran udara
Bronkitis,radang saluran napas
Bronkitis kronis,radang saluran napas kronis
Burn out,stres berat karena pekerjaan
Candidiasis,infeksi jamur Candida
Cardioverter-defibrillators,alat implan
Cephalopelvic disproportion,kondisi kepala bayi terlalu besar untuk panggul ibu
Cerebral palsy,lumpuh otak
Central line,selang yang dimasukkan ke dada
CHF,gagal jantung
Cluster headache,sakit kepala cluster
Coital cephalgia,sakit kepala saat aktivitas seksual
Congestive heart failure,gagal jantung
Corynebacterium diphtheriae,penyebab difteri
CT scan,pemindaian paru
Daya tahan tubuh lemah,imun lemah
DBD,demam berdarah
Defibrillator kardioverter,alat untuk obati gangguan irama jantung
Defisiensi alfa-1-antitripsin,kelainan genetik langka
Dehidrasi,kekurangan cairan
Dekongestan,pelega hidung
Demam berdarah dengue,demam berdarah
Demam bone-breaking,demam pematah tulang
Demam rematik,demam rematik
Demam step-ladder,demam naik bertahap
Demam tifoid,penyakit tipes
Demensia,kepikunan
Dermatitis atopik,radang kulit
Destruksi,hancurnya
Diabetes,penyakit gula
Diabetes gestasional,penyakit gula pada ibu hamil
Diabetes mellitus tipe 2,penyakit gula tipe 2
